"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-29T13:27:27.026Z","run","s0301","9455","5","11085","1630","5","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-29T13:27:28.673Z","run","s0301","11085","5","12317","1232","5","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-29T13:27:29.903Z","run","s0304","12317","8","14314","1997","8","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-29T13:27:31.900Z","run","s0303","14314","7","15962","1648","7","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-29T13:27:33.547Z","run","s0306","15962","1","18675","2713","1","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-29T13:27:36.259Z","run","s0305","18675","9","20289","1614","9","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-29T13:27:37.873Z","run","s0306","20289","1","22036","1747","1","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-29T13:27:39.620Z","run","s0303","22036","7","23633","1597","7","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-29T13:27:41.217Z","run","s0302","23633","6","25198","1565","6","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-29T13:27:42.781Z","run","s0303","25198","7","26961","1763","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-29T13:27:44.545Z","run","s0302","26961","6","28625","1664","6","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-29T13:27:46.208Z","run","s0303","28625","7","30172","1547","7","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-29T13:27:47.755Z","run","s0306","30172","1","32169","1997","1","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-29T13:27:49.751Z","run","s0309","32169","4","33734","1565","4","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-29T13:27:51.315Z","run","s0305","33734","9","35946","2212","9","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-29T13:27:53.528Z","run","s0301","35946","5","37427","1481","5","s0301","1","","","","","","","","","","","","","",""
"17","2026-05-29T13:27:55.009Z","run","s0301","37427","5","38243","816","5","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-29T13:27:55.824Z","run","s0309","38243","4","39707","1464","4","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-29T13:27:57.289Z","run","s0302","39707","6","41488","1781","6","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-29T13:27:59.069Z","run","s0305","41488","6","43218","1730","9","s0302","0","","","","","","","","","","","","","",""
"21","2026-05-29T13:28:00.800Z","run","s0307","43218","2","45848","2630","2","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-29T13:28:03.429Z","run","s0305","45848","9","47345","1497","9","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-29T13:28:04.926Z","run","s0302","47345","6","48826","1481","6","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-29T13:28:06.408Z","run","s0301","48826","5","50258","1432","5","s0301","1","","","","","","","","","","","","","",""
"25","2026-05-29T13:28:07.839Z","run","s0308","50258","3","52954","2696","3","s0308","1","","","","","","","","","","","","","",""
"26","2026-05-29T13:28:10.535Z","run","s0308","52954","3","53636","682","3","s0308","1","","","","","","","","","","","","","",""
"27","2026-05-29T13:28:11.218Z","run","s0303","53636","7","55750","2114","7","s0303","1","","","","","","","","","","","","","",""
"28","2026-05-29T13:28:13.331Z","run","s0309","55750","4","57280","1530","4","s0309","1","","","","","","","","","","","","","",""
"29","2026-05-29T13:28:14.861Z","run","s0309","57280","4","57880","600","4","s0309","1","","","","","","","","","","","","","",""
"30","2026-05-29T13:28:15.460Z","run","s0309","57880","4","58711","831","4","s0309","1","","","","","","","","","","","","","",""
"31","2026-05-29T13:28:16.292Z","run","s0307","58711","2","60359","1648","2","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-29T13:28:17.940Z","run","s0302","60359","6","62040","1681","6","s0302","1","","","","","","","","","","","","","",""
"33","2026-05-29T13:28:19.620Z","run","s0306","62040","1","63820","1780","1","s0306","1","","","","","","","","","","","","","",""
"34","2026-05-29T13:28:21.401Z","run","s0304","63820","8","65934","2114","8","s0304","1","","","","","","","","","","","","","",""
"35","2026-05-29T13:28:23.514Z","run","s0303","65934","7","67698","1764","7","s0303","1","","","","","","","","","","","","","",""
"36","2026-05-29T13:28:25.278Z","run","s0306","67698","1","69095","1397","1","s0306","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","589","0.0-0.0","portrait-primary","3","iPhone","en-US","60","7.1.2","3.90.0","351376","1","1"
