"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-22T12:43:28.664Z","baseline","3","32048","3","32849","801","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:43:29.969Z","baseline","8","33365","8","34283","918","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:43:31.401Z","baseline","6","34800","6","35483","683","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:43:32.601Z","baseline","2","35984","2","36684","700","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:43:33.801Z","baseline","5","37184","5","37818","634","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:43:34.935Z","baseline","1","38318","1","39102","784","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:43:36.218Z","baseline","4","39602","4","40453","851","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:43:37.565Z","baseline","9","40969","9","41787","818","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:43:38.904Z","baseline","7","42287","7","43087","800","null","null","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:44:02.873Z","practice","p02","66266","2","67433","1167","2","p02","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:44:04.550Z","practice","p01","67933","1","69134","1201","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:44:06.261Z","practice","p04","69634","4","71102","1468","4","p04","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:44:08.218Z","practice","p08","71602","8","73103","1501","8","p08","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:44:10.215Z","practice","p06","73603","6","74970","1367","6","p06","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:44:12.086Z","practice","p07","75470","7","77938","2468","7","p07","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:44:15.055Z","practice","p09","78439","9","80356","1917","9","p09","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:44:17.468Z","practice","p05","80857","5","82257","1400","5","p05","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:44:19.375Z","practice","p03","82758","3","85476","2718","3","p03","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:44:31.608Z","run","s0302","94497","6","97048","2551","6","s0302","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:44:34.165Z","run","s0305","97048","9","99433","2385","9","s0305","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:44:36.548Z","run","s0301","99433","5","100834","1401","5","s0301","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:44:37.945Z","run","s0308","100834","3","102718","1884","3","s0308","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:44:39.829Z","run","s0302","102718","6","104202","1484","6","s0302","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:44:41.318Z","run","s0304","104202","8","105986","1784","8","s0304","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:44:43.103Z","run","s0307","105986","2","107971","1985","2","s0307","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:44:45.088Z","run","s0309","107971","4","109455","1484","4","s0309","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:44:46.571Z","run","s0304","109455","8","112073","2618","8","s0304","1","","","","","","","","","","","","","",""
"10","2026-05-22T12:44:49.189Z","run","s0303","112073","7","113640","1567","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-22T12:44:50.757Z","run","s0303","113640","7","114724","1084","7","s0303","1","","","","","","","","","","","","","",""
"12","2026-05-22T12:44:51.841Z","run","s0309","114724","4","116158","1434","4","s0309","1","","","","","","","","","","","","","",""
"13","2026-05-22T12:44:53.275Z","run","s0308","116158","3","117892","1734","3","s0308","1","","","","","","","","","","","","","",""
"14","2026-05-22T12:44:55.018Z","run","s0303","117892","7","119843","1951","7","s0303","1","","","","","","","","","","","","","",""
"15","2026-05-22T12:44:56.955Z","run","s0301","119843","5","121128","1285","5","s0301","1","","","","","","","","","","","","","",""
"16","2026-05-22T12:44:58.238Z","run","s0305","121128","9","122461","1333","9","s0305","1","","","","","","","","","","","","","",""
"17","2026-05-22T12:44:59.572Z","run","s0306","122461","1","124029","1568","1","s0306","1","","","","","","","","","","","","","",""
"18","2026-05-22T12:45:01.140Z","run","s0304","124029","8","126063","2034","8","s0304","1","","","","","","","","","","","","","",""
"19","2026-05-22T12:45:03.180Z","run","s0305","126063","9","128048","1985","9","s0305","1","","","","","","","","","","","","","",""
"20","2026-05-22T12:45:05.164Z","run","s0304","128048","8","129332","1284","8","s0304","1","","","","","","","","","","","","","",""
"21","2026-05-22T12:45:06.450Z","run","s0302","129332","6","130632","1300","6","s0302","1","","","","","","","","","","","","","",""
"22","2026-05-22T12:45:07.744Z","run","s0309","130632","4","132000","1368","4","s0309","1","","","","","","","","","","","","","",""
"23","2026-05-22T12:45:09.126Z","run","s0302","132000","6","133234","1234","6","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-22T12:45:10.350Z","run","s0303","133234","7","134784","1550","7","s0303","1","","","","","","","","","","","","","",""
"25","2026-05-22T12:45:11.901Z","run","s0309","134784","4","136185","1401","4","s0309","1","","","","","","","","","","","","","",""
"26","2026-05-22T12:45:13.301Z","run","s0301","136185","5","137336","1151","5","s0301","1","","","","","","","","","","","","","",""
"27","2026-05-22T12:45:14.448Z","run","s0305","137336","9","139070","1734","9","s0305","1","","","","","","","","","","","","","",""
"28","2026-05-22T12:45:16.181Z","run","s0306","139070","1","140704","1634","1","s0306","1","","","","","","","","","","","","","",""
"29","2026-05-22T12:45:17.816Z","run","s0305","140704","9","141871","1167","9","s0305","1","","","","","","","","","","","","","",""
"30","2026-05-22T12:45:18.988Z","run","s0304","141871","8","143306","1435","8","s0304","1","","","","","","","","","","","","","",""
"31","2026-05-22T12:45:20.422Z","run","s0307","143306","1","145773","2467","2","s0306","0","","","","","","","","","","","","","",""
"32","2026-05-22T12:45:22.900Z","run","s0301","145773","5","147424","1651","5","s0301","1","","","","","","","","","","","","","",""
"33","2026-05-22T12:45:24.535Z","run","s0309","147424","4","148542","1118","4","s0309","1","","","","","","","","","","","","","",""
"34","2026-05-22T12:45:25.653Z","run","s0309","148542","4","149475","933","4","s0309","1","","","","","","","","","","","","","",""
"35","2026-05-22T12:45:26.587Z","run","s0306","149475","1","151643","2168","1","s0306","1","","","","","","","","","","","","","",""
"36","2026-05-22T12:45:28.754Z","run","s0306","151643","1","152544","901","1","s0306","1","","","","","","","","","","","","","",""
"37","2026-05-22T12:45:29.660Z","run","s0305","152544","9","153994","1450","9","s0305","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","859","0.0-0.0","portrait-primary","1.875","Linux armv81","en-NL","60","7.1.2","3.90.0","583a2e11-09ea-4572-809c-1a7df28da398","1","1"
