"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-21T11:50:14.304Z","run","s0301","19145","7","21477","2332","7","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-21T11:50:16.640Z","run","s0301","21477","5","23910","2433","7","s0308","0","","","","","","","","","","","","","",""
"3","2026-05-21T11:50:19.084Z","run","s0304","23910","2","25043","1133","1","s0305","0","","","","","","","","","","","","","",""
"4","2026-05-21T11:50:20.212Z","run","s0303","25043","3","25859","816","9","s0306","0","","","","","","","","","","","","","",""
"5","2026-05-21T11:50:21.033Z","run","s0306","25859","6","26759","900","3","s0309","0","","","","","","","","","","","","","",""
"6","2026-05-21T11:50:21.921Z","run","s0305","26759","5","27509","750","2","s0308","0","","","","","","","","","","","","","",""
"7","2026-05-21T11:50:22.679Z","run","s0306","27509","3","28225","716","3","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-21T11:50:23.398Z","run","s0303","28225","2","28858","633","9","s0305","0","","","","","","","","","","","","","",""
"9","2026-05-21T11:50:24.020Z","run","s0302","28858","6","29524","666","8","s0309","0","","","","","","","","","","","","","",""
"10","2026-05-21T11:50:24.694Z","run","s0303","29524","9","30108","584","9","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-21T11:50:25.272Z","run","s0302","30108","5","30807","699","8","s0308","0","","","","","","","","","","","","","",""
"12","2026-05-21T11:50:25.977Z","run","s0303","30807","2","31524","717","9","s0305","0","","","","","","","","","","","","","",""
"13","2026-05-21T11:50:26.692Z","run","s0306","31524","3","32240","716","3","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-21T11:50:27.415Z","run","s0309","32240","1","32923","683","6","s0304","0","","","","","","","","","","","","","",""
"15","2026-05-21T11:50:28.085Z","run","s0305","32923","5","33540","617","2","s0308","0","","","","","","","","","","","","","",""
"16","2026-05-21T11:50:28.713Z","run","s0301","33540","2","34073","533","7","s0305","0","","","","","","","","","","","","","",""
"17","2026-05-21T11:50:29.244Z","run","s0301","34073","8","34873","800","7","s0302","0","","","","","","","","","","","","","",""
"18","2026-05-21T11:50:30.049Z","run","s0309","34873","2","35422","549","6","s0305","0","","","","","","","","","","","","","",""
"19","2026-05-21T11:50:30.596Z","run","s0302","35422","3","35956","534","8","s0306","0","","","","","","","","","","","","","",""
"20","2026-05-21T11:50:31.121Z","run","s0305","35956","5","36489","533","2","s0308","0","","","","","","","","","","","","","",""
"21","2026-05-21T11:50:31.656Z","run","s0307","36489","4","37022","533","4","s0307","1","","","","","","","","","","","","","",""
