"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-22T12:58:20.411Z","baseline","3","31993","3","32877","884","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:58:21.808Z","baseline","8","33377","8","34194","817","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:58:23.113Z","baseline","6","34694","6","35411","717","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:58:24.326Z","baseline","2","35912","2","36612","700","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:58:25.526Z","baseline","5","37129","5","37796","667","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:58:26.715Z","baseline","1","38313","1","39063","750","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:58:27.979Z","baseline","4","39563","4","40247","684","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:58:29.166Z","baseline","9","40747","9","41464","717","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:58:30.379Z","baseline","7","41965","7","42665","700","null","null","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:58:55.155Z","practice","p02","66744","2","68412","1668","2","p02","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:58:57.330Z","practice","p01","68912","1","70496","1584","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:58:59.411Z","practice","p04","70996","4","72647","1651","4","p04","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:59:01.561Z","practice","p08","73147","8","75015","1868","8","p08","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:59:03.932Z","practice","p06","75515","6","76866","1351","6","p06","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:59:05.784Z","practice","p07","77366","7","79184","1818","7","p07","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:59:08.102Z","practice","p09","79684","9","81668","1984","9","p09","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:59:10.586Z","practice","p05","82169","5","83886","1717","5","p05","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:59:12.800Z","practice","p03","84403","3","85988","1585","3","p03","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:59:26.306Z","run","s0302","97393","6","99328","1935","6","s0302","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:59:28.255Z","run","s0305","99328","9","100995","1667","9","s0305","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:59:29.908Z","run","s0301","100995","5","102413","1418","5","s0301","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:59:31.326Z","run","s0308","102413","3","104347","1934","3","s0308","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:59:33.263Z","run","s0302","104347","6","106181","1834","6","s0302","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:59:35.109Z","run","s0304","106181","8","108049","1868","8","s0304","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:59:36.966Z","run","s0307","108049","2","109900","1851","2","s0307","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:59:38.816Z","run","s0309","109900","4","111584","1684","4","s0309","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:59:40.501Z","run","s0304","111584","8","113918","2334","8","s0304","1","","","","","","","","","","","","","",""
"10","2026-05-22T12:59:42.832Z","run","s0303","113918","7","116120","2202","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-22T12:59:45.033Z","run","s0303","116120","7","117237","1117","7","s0303","1","","","","","","","","","","","","","",""
"12","2026-05-22T12:59:46.150Z","run","s0309","117237","4","119271","2034","4","s0309","1","","","","","","","","","","","","","",""
"13","2026-05-22T12:59:48.200Z","run","s0308","119271","3","120939","1668","3","s0308","1","","","","","","","","","","","","","",""
"14","2026-05-22T12:59:49.866Z","run","s0303","120939","7","122723","1784","7","s0303","1","","","","","","","","","","","","","",""
"15","2026-05-22T12:59:51.641Z","run","s0301","122723","5","124274","1551","5","s0301","1","","","","","","","","","","","","","",""
"16","2026-05-22T12:59:53.191Z","run","s0305","124274","9","125591","1317","9","s0305","1","","","","","","","","","","","","","",""
"17","2026-05-22T12:59:54.509Z","run","s0306","125591","1","127292","1701","1","s0306","1","","","","","","","","","","","","","",""
"18","2026-05-22T12:59:56.210Z","run","s0304","127292","8","129743","2451","8","s0304","1","","","","","","","","","","","","","",""
"19","2026-05-22T12:59:58.657Z","run","s0305","129743","9","130877","1134","9","s0305","1","","","","","","","","","","","","","",""
"20","2026-05-22T12:59:59.859Z","run","s0304","130877","8","132912","2035","8","s0304","1","","","","","","","","","","","","","",""
"21","2026-05-22T13:00:01.829Z","run","s0302","132912","6","134396","1484","6","s0302","1","","","","","","","","","","","","","",""
"22","2026-05-22T13:00:03.312Z","run","s0309","134396","4","135996","1600","4","s0309","1","","","","","","","","","","","","","",""
"23","2026-05-22T13:00:04.926Z","run","s0302","135996","6","137647","1651","6","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-22T13:00:06.564Z","run","s0303","137647","7","139631","1984","7","s0303","1","","","","","","","","","","","","","",""
"25","2026-05-22T13:00:08.545Z","run","s0309","139631","4","141666","2035","4","s0309","1","","","","","","","","","","","","","",""
"26","2026-05-22T13:00:10.581Z","run","s0301","141666","5","143534","1868","5","s0301","1","","","","","","","","","","","","","",""
"27","2026-05-22T13:00:12.447Z","run","s0305","143534","9","144618","1084","9","s0305","1","","","","","","","","","","","","","",""
"28","2026-05-22T13:00:13.535Z","run","s0306","144618","1","146335","1717","1","s0306","1","","","","","","","","","","","","","",""
"29","2026-05-22T13:00:15.248Z","run","s0305","146335","9","147469","1134","9","s0305","1","","","","","","","","","","","","","",""
"30","2026-05-22T13:00:16.382Z","run","s0304","147469","8","149487","2018","8","s0304","1","","","","","","","","","","","","","",""
"31","2026-05-22T13:00:18.400Z","run","s0307","149487","2","150971","1484","2","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-22T13:00:19.888Z","run","s0301","150971","5","152505","1534","5","s0301","1","","","","","","","","","","","","","",""
"33","2026-05-22T13:00:21.433Z","run","s0309","152505","4","154673","2168","4","s0309","1","","","","","","","","","","","","","",""
"34","2026-05-22T13:00:23.586Z","run","s0309","154673","4","155556","883","4","s0309","1","","","","","","","","","","","","","",""
"35","2026-05-22T13:00:24.474Z","run","s0306","155556","1","157141","1585","1","s0306","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","708","0.0-0.0","portrait-primary","1.875","Linux armv81","en-NL","60","7.1.2","3.90.0","cc72a10f-e37a-44e2-a75f-ceb54134b7dc","1","1"
