"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-21T15:44:18.023Z","baseline","3","51774","3","53010","1236","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-21T15:44:19.758Z","baseline","8","53512","8","54548","1036","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-21T15:44:21.295Z","baseline","6","55050","6","56036","986","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-21T15:44:22.782Z","baseline","2","56538","2","57323","785","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-21T15:44:24.075Z","baseline","5","57825","5","58444","619","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-21T15:44:25.195Z","baseline","1","58945","1","60198","1253","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-21T15:44:26.944Z","baseline","4","60700","4","61386","686","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-21T15:44:28.138Z","baseline","9","61887","9","62589","702","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-21T15:44:29.335Z","baseline","7","63090","5","64093","1003","null","null","0","","","","","","","","","","","","","",""
"1","2026-05-21T15:44:52.332Z","practice","p02","86097","3","86699","602","2","p03","0","","","","","","","","","","","","","",""
"2","2026-05-21T15:44:53.449Z","practice","p01","87201","1","88371","1170","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-21T15:44:55.120Z","practice","p04","88873","5","89408","535","4","p05","0","","","","","","","","","","","","","",""
"4","2026-05-21T15:44:56.159Z","practice","p08","89909","6","90193","284","8","p06","0","","","","","","","","","","","","","",""
"5","2026-05-21T15:44:56.945Z","practice","p06","90695","2","91063","368","6","p02","0","","","","","","","","","","","","","",""
"6","2026-05-21T15:44:57.815Z","practice","p07","91564","1","91949","385","7","p01","0","","","","","","","","","","","","","",""
"7","2026-05-21T15:44:58.701Z","practice","p09","92450","7","92718","268","9","p07","0","","","","","","","","","","","","","",""
"8","2026-05-21T15:44:59.470Z","practice","p05","93220","8","93403","183","5","p08","0","","","","","","","","","","","","","",""
"9","2026-05-21T15:45:00.157Z","practice","p03","93905","5","95092","1187","3","p05","0","","","","","","","","","","","","","",""
"1","2026-05-21T15:45:08.515Z","run","s0402","101780","8","103252","1472","8","s0402","1","","","","","","","","","","","","","",""
"2","2026-05-21T15:45:10.003Z","run","s0405","103252","5","104239","987","2","s0408","0","","","","","","","","","","","","","",""
"3","2026-05-21T15:45:10.991Z","run","s0401","104239","3","104991","752","7","s0406","0","","","","","","","","","","","","","",""
"4","2026-05-21T15:45:11.736Z","run","s0408","104991","2","105660","669","5","s0405","0","","","","","","","","","","","","","",""
"5","2026-05-21T15:45:12.405Z","run","s0402","105660","6","106162","502","8","s0409","0","","","","","","","","","","","","","",""
"6","2026-05-21T15:45:12.913Z","run","s0404","106162","4","106530","368","1","s0407","0","","","","","","","","","","","","","",""
"7","2026-05-21T15:45:13.281Z","run","s0407","106530","2","107182","652","4","s0405","0","","","","","","","","","","","","","",""
"8","2026-05-21T15:45:13.933Z","run","s0409","107182","9","107851","669","6","s0403","0","","","","","","","","","","","","","",""
"9","2026-05-21T15:45:14.596Z","run","s0404","107851","5","108519","668","1","s0408","0","","","","","","","","","","","","","",""
"10","2026-05-21T15:45:15.264Z","run","s0403","108519","3","109305","786","9","s0406","0","","","","","","","","","","","","","",""
"11","2026-05-21T15:45:16.057Z","run","s0403","109305","3","110175","870","9","s0406","0","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","1435","0.0-0.0","portrait-primary","2.625","Linux aarch64","nl-NL","60","7.1.2","3.90.0","fe1d31e8-f083-4c99-9003-0017a63862ec","1","1"
