"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-29T13:45:24.802Z","run","s0301","33487","5","34906","1419","5","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-29T13:45:26.234Z","run","s0301","34906","5","36288","1382","5","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-29T13:45:27.619Z","run","s0304","36288","8","38373","2085","8","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-29T13:45:29.699Z","run","s0303","38373","7","40537","2164","7","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-29T13:45:31.867Z","run","s0306","40537","1","42504","1967","1","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-29T13:45:33.834Z","run","s0305","42504","9","44321","1817","9","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-29T13:45:35.651Z","run","s0306","44321","1","45788","1467","1","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-29T13:45:37.119Z","run","s0303","45788","7","47005","1217","7","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-29T13:45:38.335Z","run","s0302","47005","6","48895","1890","6","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-29T13:45:40.217Z","run","s0303","48895","7","50105","1210","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-29T13:45:41.435Z","run","s0302","50105","6","50980","875","6","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-29T13:45:42.302Z","run","s0303","50980","7","51748","768","7","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-29T13:45:43.063Z","run","s0306","51748","1","52611","863","1","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-29T13:45:43.933Z","run","s0309","52611","4","53916","1305","4","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-29T13:45:45.234Z","run","s0305","53916","9","54923","1007","9","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-29T13:45:46.252Z","run","s0301","54923","5","56372","1449","5","s0301","1","","","","","","","","","","","","","",""
"17","2026-05-29T13:45:47.703Z","run","s0301","56372","5","57033","661","5","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-29T13:45:48.351Z","run","s0309","57033","4","58286","1253","4","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-29T13:45:49.602Z","run","s0302","58286","6","61379","3093","6","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-29T13:45:52.703Z","run","s0305","61379","9","62365","986","9","s0305","1","","","","","","","","","","","","","",""
"21","2026-05-29T13:45:53.686Z","run","s0307","62365","2","63748","1383","2","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-29T13:45:55.068Z","run","s0305","63748","9","64665","917","9","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-29T13:45:55.988Z","run","s0302","64665","6","66427","1762","6","s0302","1","","","","","","","","","","","","","",""
