"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-22T12:57:38.506Z","baseline","3","27902","3","28485","583","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:57:39.593Z","baseline","8","29002","8","29919","917","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:57:41.022Z","baseline","6","30435","6","31185","750","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:57:42.286Z","baseline","2","31702","2","32352","650","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:57:43.452Z","baseline","5","32869","5","33653","784","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:57:44.753Z","baseline","1","34169","1","34836","667","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:57:45.936Z","baseline","4","35353","4","36236","883","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:57:47.336Z","baseline","9","36753","9","37770","1017","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:57:48.870Z","baseline","7","38270","7","39004","734","null","null","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:58:12.754Z","practice","p02","62175","2","63558","1383","2","p02","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:58:14.658Z","practice","p01","64075","1","66492","2417","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:58:17.591Z","practice","p04","67008","4","68409","1401","4","p04","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:58:19.508Z","practice","p08","68925","8","70442","1517","8","p08","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:58:21.542Z","practice","p06","70959","6","72443","1484","6","p06","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:58:23.543Z","practice","p07","72960","7","74560","1600","7","p07","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:58:25.659Z","practice","p09","75076","9","76677","1601","9","p09","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:58:27.781Z","practice","p05","77194","5","78561","1367","5","p05","1","","","","","","","","","","","","","",""
