"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-22T12:46:10.777Z","baseline","3","27245","3","28129","884","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:46:12.166Z","baseline","8","28629","8","29379","750","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:46:13.423Z","baseline","6","29880","6","30730","850","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:46:14.764Z","baseline","2","31230","2","32548","1318","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:46:16.576Z","baseline","5","33048","5","33765","717","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:46:17.799Z","baseline","1","34265","1","34899","634","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:46:18.927Z","baseline","4","35399","4","36200","801","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-22T12:46:20.228Z","baseline","9","36700","9","37450","750","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-22T12:46:21.479Z","baseline","7","37950","7","38767","817","null","null","1","","","","","","","","","","","","","",""
"1","2026-05-22T12:46:44.124Z","practice","p02","60596","2","62246","1650","2","p02","1","","","","","","","","","","","","","",""
"2","2026-05-22T12:46:46.290Z","practice","p01","62746","1","63864","1118","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-22T12:46:47.892Z","practice","p04","64364","4","65898","1534","4","p04","1","","","","","","","","","","","","","",""
"4","2026-05-22T12:46:49.931Z","practice","p08","66415","8","67916","1501","8","p08","1","","","","","","","","","","","","","",""
"5","2026-05-22T12:46:51.944Z","practice","p06","68416","6","69934","1518","6","p06","1","","","","","","","","","","","","","",""
"6","2026-05-22T12:46:53.966Z","practice","p07","70434","7","72652","2218","7","p07","1","","","","","","","","","","","","","",""
"7","2026-05-22T12:46:56.680Z","practice","p09","73152","9","74503","1351","9","p09","1","","","","","","","","","","","","","",""
