"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-21T16:18:32.503Z","run","s0501","30750","7","33210","2460","7","s0501","1","","","","","","","","","","","","","",""
"2","2026-05-21T16:18:34.982Z","run","s0501","33210","7","34215","1005","7","s0501","1","","","","","","","","","","","","","",""
"3","2026-05-21T16:18:35.999Z","run","s0504","34215","1","35755","1540","1","s0504","1","","","","","","","","","","","","","",""
"4","2026-05-21T16:18:37.522Z","run","s0503","35755","9","37697","1942","9","s0503","1","","","","","","","","","","","","","",""
"5","2026-05-21T16:18:39.468Z","run","s0506","37697","3","39689","1992","3","s0506","1","","","","","","","","","","","","","",""
"6","2026-05-21T16:18:41.457Z","run","s0505","39689","2","41397","1708","2","s0505","1","","","","","","","","","","","","","",""
"7","2026-05-21T16:18:43.181Z","run","s0506","41397","3","42686","1289","3","s0506","1","","","","","","","","","","","","","",""
"8","2026-05-21T16:18:44.473Z","run","s0503","42686","9","44144","1458","9","s0503","1","","","","","","","","","","","","","",""
"9","2026-05-21T16:18:45.914Z","run","s0502","44144","8","45768","1624","8","s0502","1","","","","","","","","","","","","","",""
"10","2026-05-21T16:18:47.539Z","run","s0503","45768","9","46940","1172","9","s0503","1","","","","","","","","","","","","","",""
"11","2026-05-21T16:18:48.711Z","run","s0502","46940","8","48380","1440","8","s0502","1","","","","","","","","","","","","","",""
"12","2026-05-21T16:18:50.151Z","run","s0503","48380","9","49251","871","9","s0503","1","","","","","","","","","","","","","",""
"13","2026-05-21T16:18:51.026Z","run","s0506","49251","3","51025","1774","3","s0506","1","","","","","","","","","","","","","",""
"14","2026-05-21T16:18:52.790Z","run","s0509","51025","6","52749","1724","6","s0509","1","","","","","","","","","","","","","",""
"15","2026-05-21T16:18:54.515Z","run","s0505","52749","2","54590","1841","2","s0505","1","","","","","","","","","","","","","",""
"16","2026-05-21T16:18:56.359Z","run","s0501","54590","7","56849","2259","7","s0501","1","","","","","","","","","","","","","",""
"17","2026-05-21T16:18:58.618Z","run","s0501","56849","7","57552","703","7","s0501","1","","","","","","","","","","","","","",""
"18","2026-05-21T16:18:59.321Z","run","s0509","57552","6","59444","1892","6","s0509","1","","","","","","","","","","","","","",""
"19","2026-05-21T16:19:01.213Z","run","s0502","59444","8","61236","1792","8","s0502","1","","","","","","","","","","","","","",""
"20","2026-05-21T16:19:03.005Z","run","s0505","61236","2","62793","1557","2","s0505","1","","","","","","","","","","","","","",""
"21","2026-05-21T16:19:04.562Z","run","s0507","62793","4","64200","1407","4","s0507","1","","","","","","","","","","","","","",""
"22","2026-05-21T16:19:05.968Z","run","s0505","64200","2","65941","1741","2","s0505","1","","","","","","","","","","","","","",""
"23","2026-05-21T16:19:07.703Z","run","s0502","65941","8","67430","1489","8","s0502","1","","","","","","","","","","","","","",""
"24","2026-05-21T16:19:09.201Z","run","s0501","67430","7","71315","3885","7","s0501","1","","","","","","","","","","","","","",""
"25","2026-05-21T16:19:13.085Z","run","s0508","71315","5","72821","1506","5","s0508","1","","","","","","","","","","","","","",""
"26","2026-05-21T16:19:14.588Z","run","s0508","72821","5","74060","1239","5","s0508","1","","","","","","","","","","","","","",""
"27","2026-05-21T16:19:15.830Z","run","s0503","74060","9","75298","1238","9","s0503","1","","","","","","","","","","","","","",""
"28","2026-05-21T16:19:17.070Z","run","s0509","75298","6","77039","1741","6","s0509","1","","","","","","","","","","","","","",""
"29","2026-05-21T16:19:18.821Z","run","s0509","77039","6","77725","686","6","s0509","1","","","","","","","","","","","","","",""
"30","2026-05-21T16:19:19.511Z","run","s0509","77725","6","78428","703","6","s0509","1","","","","","","","","","","","","","",""
"31","2026-05-21T16:19:20.189Z","run","s0507","78428","4","81089","2661","4","s0507","1","","","","","","","","","","","","","",""
"32","2026-05-21T16:19:22.861Z","run","s0502","81089","8","83583","2494","8","s0502","1","","","","","","","","","","","","","",""
"33","2026-05-21T16:19:25.349Z","run","s0506","83583","3","84771","1188","3","s0506","1","","","","","","","","","","","","","",""
"34","2026-05-21T16:19:26.539Z","run","s0504","84771","1","86428","1657","1","s0504","1","","","","","","","","","","","","","",""
"35","2026-05-21T16:19:28.194Z","run","s0503","86428","9","87733","1305","9","s0503","1","","","","","","","","","","","","","",""
"36","2026-05-21T16:19:29.502Z","run","s0506","87733","3","89508","1775","3","s0506","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","959","0.0-0.0","portrait-primary","2.625","Linux aarch64","nl-NL","60","7.1.2","3.90.0","d99b02af-26c6-4736-af8c-8e7869248a2d","1","1"
